Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
1990/1991,FANLING SHEUNG SHUI TOWN LOT NO. 96,AREA 4B SHEUNG SHUI,AUCTION,INDUSTRIAL,25,1759,NORTH,12-Mar-91,N.A.
1990/1991,TAI PO TOWN LOT NO. 113,AREA 6 SITE D,AUCTION,RESIDENTIAL R2,200,8675,TAI PO,12-Mar-91,N.A.
1990/1991,SHA TIN TOWN LOT NO. 352,MA ON SHAN AREA 103,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,588.8,43610,SHA TIN,12-Mar-91,N.A.
1990/1991,SHAU KEI WAN INLAND LOT NO. 823,REAR 181-205 SHAUKIWAN ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,105,726,EASTERN,12-Mar-91,N.A.
1990/1991,KWAI CHUNG TOWN LOT NO. 426,CASTLE PEAK ROAD,TENDER,PETROL FILLING STATION,55.4,2090,KWAI TSING,22-Mar-91,N.A.
1989/1990,TAI PO TOWN LOT NO. 81,OFF TING KOK ROAD AREA 8,AUCTION,INDUSTRIAL,40,2230,TAI PO,28-Nov-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 95,AREA 4B SHEUNG SHUI,AUCTION,INDUSTRIAL,37,3785,NORTH,28-Nov-89,N.A.
1989/1990,RURAL BUILDING LOT NO. 3,110-116 PEAK ROAD,TENDER,COMMERCIAL / RESIDENTIAL,328,11220,CENTRAL & WESTERN,21-Dec-89,N.A.
1989/1990,NEW KOWLOON INLAND LOT NO. 5983,TAT CHEE AVENUE DEVELOPMENT AREA 2B,AUCTION,RESIDENTIAL R2,1065,27300,SHAM SHUI PO,28-Dec-89,N.A.
1989/1990,LOT NO. 345 IN DEMARCATION DISTRICT NO. 252,TAI MONG TSAI SAI KUNG,AUCTION,RESIDENTIAL R4,12.1,3550,SAI KUNG,28-Dec-89,N.A.
1989/1990,SHA TIN TOWN LOT NO. 357,SITE 6 AREA 11 SHA TIN,AUCTION,GODOWN,122,3400,SHA TIN,28-Dec-89,N.A.
1989/1990,NEW KOWLOON INLAND LOT NO. 5971,WAI YIP STREET / WANG HOI ROAD,AUCTION,COMMERCIAL,238,2941,KWUN TONG,23-Jan-90,N.A.
1989/1990,TSING YI TOWN LOT NO. 116,AREA 1 TSING YI,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,56.88,9860,KWAI TSING,4-Jan-90,N.A.
1989/1990,HUNG HOM INLAND LOT NO. 545,MAN LOK STREET,AUCTION,GODOWN,200,5220,KOWLOON CITY,23-Jan-90,N.A.
1989/1990,LOT NO. 783 IN DEMARCATION DISTRICT NO. 216,SHA HA SAI KUNG,AUCTION,RESIDENTIAL R3,8,1282,SAI KUNG,23-Jan-90,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 94,NEAR KCR STATION SHEUNG SHUI,TENDER,COMMERCIAL,70,5433,NORTH,2-Mar-90,N.A.
1989/1990,YUEN LONG TOWN LOT NO. 385,TUNG TAU INDUSTRIAL AREA,AUCTION,INDUSTRIAL,20,2382,YUEN LONG,23-Jan-90,N.A.
1989/1990,SHA TIN TOWN LOT NO. 363,SITE 3 MA ON SHAN TOWN CENTRE,LETTER A/B,RESIDENTIAL R1,24.57,7199,SHA TIN,2-Mar-90,N.A.
1989/1990,SHA TIN TOWN LOT NO. 364,PAI TAU STREET,LETTER A/B,COMMERCIAL,72.48,8463,SHA TIN,2-Mar-90,N.A.
1989/1990,YUEN LONG TOWN LOT NO. 472,FUNG CHEUNG STREET / FUNG HEUNG STREET YUEN LONG,LETTER A/B,RESIDENTIAL R1,12.8,1000,YUEN LONG,2-Mar-90,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 57,SHEUNG SHUI AREA 7A,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,52.9,9732,NORTH,9-Mar-90,N.A.
1989/1990,SHA TIN TOWN LOT NO. 218,MEI WO CIRCUIT SHA TIN,TENDER,RESIDENTIAL R4,2.68,949,SHA TIN,17-Mar-90,N.A.
1989/1990,SHA TIN TOWN LOT NO. 334,SITE 12 AREA 100,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,73,5300,SHA TIN,9-Mar-90,N.A.
1989/1990,LOT NO. 1196 IN DEMARCATION DISTRICT NO. 253,RAZOR HILL SAI KUNG,AUCTION,RESIDENTIAL R3,31,4575,SAI KUNG,23-Mar-90,N.A.
1989/1990,SHA TIN TOWN LOT NO. 327,SITE 7 AREA 11 SHATIN,AUCTION,INDUSTRIAL,145,3380,SHA TIN,23-Mar-90,N.A.
1989/1990,LOT NO. 789 IN DEMARCATION DISTRICT NO. 216,SHA HA SAI KUNG,AUCTION,RESIDENTIAL R3,10.5,1860,SAI KUNG,23-Mar-90,N.A.
1989/1990,TUEN MUN TOWN LOT NO. 347,AREA 2A TUEN MUN,AUCTION,RESIDENTIAL R1,117,4949,TUEN MUN,23-Mar-90,N.A.
1989/1990,LOT 1791 IN CHEUNG CHAU,KIN SAN LANE CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,1.16,65,ISLANDS,27-Jun-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 52,FANLING AREA 29A,AUCTION,RESIDENTIAL R2,88,7330,NORTH,25-Jul-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 97,AREA 4B SHEUNG SHUI,AUCTION,INDUSTRIAL,35,3041,NORTH,25-Jul-89,N.A.
1989/1990,TAI PO TOWN LOT NO. 68,YIM TIN TSAI,AUCTION,RESIDENTIAL R3,10.4,2906,TAI PO,25-Jul-89,N.A.
1989/1990,INLAND LOT NO. 8888,GARDEN ROAD,TENDER,COMMERCIAL,2700,8546,CENTRAL & WESTERN,26-Jul-89,N.A.
1989/1990,SHA TIN TOWN LOT NO. 326,SITE 8 MA ON SHAN,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,41,3951,SHA TIN,2-Aug-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 98,ON LOK TSUEN,AUCTION,INDUSTRIAL,15.3,1295,NORTH,17-Aug-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 83,FANLING AREA 29B,AUCTION,RESIDENTIAL R3,35,7778,NORTH,17-Aug-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 100,ON LOK TSUEN,AUCTION,INDUSTRIAL,20.6,1707,NORTH,11-Sep-89,N.A.
1989/1990,TUEN MUN TOWN LOT NO. 323,AREA 44 TUEN MUN,AUCTION,RESIDENTIAL R2,380,21090,TUEN MUN,17-Aug-89,N.A.
1989/1990,NEW KOWLOON INLAND LOT NO. 6115,LAM LOK STREET KOWLOON BAY,AUCTION,COMMERCIAL,370,6300,KWUN TONG,11-Sep-89,N.A.
1989/1990,SHA TIN TOWN LOT NO. 340,SITE 22 AREA 11 SHA TIN,AUCTION,INDUSTRIAL,188,4773,SHA TIN,11-Sep-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 54,FANLING AREA 28A,LETTER A/B,RESIDENTIAL R1,26.62,3181,NORTH,7-Oct-89,N.A.
1989/1990,SHA TIN TOWN LOT NO. 308,MA ON SHAN,LETTER A/B,RESIDENTIAL R1,24.88,3039,SHA TIN,7-Oct-89,N.A.
1989/1990,TUEN MUN TOWN LOT NO. 333,AREA 28A TUEN MUN,LETTER A/B,COMMERCIAL / RESIDENTIAL,34.26,8400,TUEN MUN,7-Oct-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 51,FANLING AREA 29A,AUCTION,RESIDENTIAL R2,100,5915,NORTH,25-Oct-89,N.A.
1989/1990,NEW KOWLOON INLAND LOT NO. 5853,WAI YIP STREET / LAM HING STREET,AUCTION,GODOWN,200,3803,KWUN TONG,25-Oct-89,N.A.
1989/1990,TAI PO TOWN LOT NO. 103,TING KOK ROAD,AUCTION,INDUSTRIAL,43,1618,TAI PO,25-Oct-89,N.A.
1989/1990,TUEN MUN TOWN LOT NO. 338,AREA 16 TUEN MUN,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,138.1,22180,TUEN MUN,3-Nov-89,N.A.
1989/1990,LOT NO. 242 IN DEMARCATION DISTRICT NO. 331 LANTAU,NEAR SOUTH LANTAU ROAD LANTAU,TENDER,RESIDENTIAL R4,1.38,2580,ISLANDS,13-Nov-89,N.A.
1989/1990,INLAND LOT NO. 8734,MOORSOM ROAD / CHUN FAI ROAD,TENDER,COMMERCIAL,123.8,1900,WAN CHAI,17-Nov-89,N.A.
1989/1990,NEW KOWLOON INLAND LOT NO. 6056,CARPENTER ROAD,AUCTION,COMMERCIAL,286,5921,KOWLOON CITY,28-Nov-89,N.A.
1989/1990,FANLING SHEUNG SHUI TOWN LOT NO. 50,SHEUNG SHUI AREA 4B,AUCTION,INDUSTRIAL,86,5911,NORTH,29-May-89,N.A.
1989/1990,SHA TIN TOWN LOT NO. 250,SUI WO ROAD,AUCTION,RESIDENTIAL R4,4.6,960,SHA TIN,29-May-89,N.A.
1989/1990,CHAI WAN INLAND LOT NO. 138,JUNCTION OF KA YIP STREET / WING TAI ROAD,AUCTION,INDUSTRIAL,105,2412,EASTERN,29-May-89,N.A.
1989/1990,LOT 647 IN PENG CHAU,PENG CHAU,TENDER,INDUSTRIAL,3.87,3330,ISLANDS,30-May-89,N.A.
1988/1989,KWUN TONG INLAND LOT NO. 713,HOI BUN ROAD KWUN TONG,AUCTION,COMMERCIAL,420,4500,KWUN TONG,29-Nov-88,N.A.
1988/1989,KWAI CHUNG LOT NO. 7,CONTAINER PORT KWAI CHUNG,TENDER,OTHER SPECIFIED USES,4390,315000,KWAI TSING,6-Apr-88,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 29 (LOT NO. 5355 IN DEMARCATION DISTRICT NO. 51),ON LOK TSUEN,AUCTION,INDUSTRIAL,21,1861,NORTH,30-May-88,N.A.
1988/1989,TUEN MUN TOWN LOT NO. 316,AREA 40,AUCTION,INDUSTRIAL,30,4953,TUEN MUN,30-May-88,N.A.
1988/1989,LOT 1762 IN CHEUNG CHAU,PAK SHE FIRST LANE CHEUNG CHAU,TENDER,INDUSTRIAL,0.42,145,ISLANDS,24-Jun-88,N.A.
1988/1989,CHAI WAN INLAND LOT NO. 103,CHAI WAN RECLAMATION,AUCTION,INDUSTRIAL,173,4498,EASTERN,30-May-88,N.A.
1988/1989,KWAI CHUNG TOWN LOT NO. 395,JUNCTION OF HING FONG ROAD / KWAI FUK ROAD,LETTER A/B,COMMERCIAL / RESIDENTIAL,59.57,15800,KWAI TSING,29-Jun-88,N.A.
1988/1989,LOT 1783 IN CHEUNG CHAU,CHUNG HING HOI PONG ROAD CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,1.63,130,ISLANDS,24-Jun-88,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 35,ON LOK TSUEN,AUCTION,INDUSTRIAL,16,1198,NORTH,13-Jul-88,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 33 (LOT NO. 2309 IN DEMARCATION DISTRICT NO. 83),ON LOK TSUEN,TENDER,PETROL FILLING STATION,51,712,NORTH,4-Jul-88,N.A.
1988/1989,LOT 649 IN PENG CHAU,PENG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,0.96,195,ISLANDS,1-Aug-88,N.A.
1988/1989,CHAI WAN INLAND LOT NO. 139,CHAI WAN RECLAMATION,AUCTION,INDUSTRIAL,194,4687,EASTERN,13-Jul-88,N.A.
1988/1989,LOT NO. 227 IN DEMARCATION DISTRICT NO. 331 LANTAU,CHEUNG SHA LANTAU,TENDER,RESIDENTIAL R4,1.4,1194,ISLANDS,1-Aug-88,N.A.
1988/1989,SHA TIN TOWN LOT NO. 300,TAI CHUNG KIU ROAD,LETTER A/B,RESIDENTIAL R2,25.25,6614,SHA TIN,7-Sep-88,N.A.
1988/1989,TAI PO TOWN LOT NO. 85,AREA 22 TAI PO,TENDER,PETROL FILLING STATION,62,737,TAI PO,5-Sep-88,N.A.
1988/1989,NEW KOWLOON INLAND LOT NO. 6037,PO ON ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,142,2110,SHAM SHUI PO,21-Sep-88,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 49,SHEUNG SHUI AREA 4B,AUCTION,INDUSTRIAL,30.5,2816,NORTH,21-Sep-88,N.A.
1988/1989,LOT NO. 811 IN DEMARCATION DISTRICT NO. 110,KAM TIN ROAD KAM TIN,TENDER,PETROL FILLING STATION,23,1100,YUEN LONG,30-Sep-88,N.A.
1988/1989,TUEN MUN TOWN LOT NO. 322,AREA 44,AUCTION,RESIDENTIAL R2,220,12390,TUEN MUN,28-Oct-88,N.A.
1988/1989,LOT NO. 1209 IN DEMARCATION DISTRICT NO. 253,RAZOR HILL SAI KUNG,AUCTION,RESIDENTIAL R3,41,6743,SAI KUNG,28-Oct-88,N.A.
1988/1989,NEW KOWLOON INLAND LOT NO. 6081,TAT CHEE AVENUE DEVELOPMENT AREA IIA,AUCTION,RESIDENTIAL R2,156,4250,SHAM SHUI PO,29-Nov-88,N.A.
1988/1989,KOWLOON INLAND LOT NO. 10971,BAILEY STREET HUNG HOM,AUCTION,RESIDENTIAL R1,196,2472,KOWLOON CITY,29-Nov-88,N.A.
1988/1989,YUEN LONG TOWN LOT NO. 404,WANG YIP STREET WEST TUNG TAU INDUSTRIAL AREA,AUCTION,INDUSTRIAL,30.5,1735,YUEN LONG,29-Nov-88,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 55,SHEUNG SHUI AREA 7A,LETTER A/B,COMMERCIAL / RESIDENTIAL,30.86,11070,NORTH,2-Dec-88,N.A.
1988/1989,TSUEN WAN TOWN LOT NO. 324,TAI HO ROAD,LETTER A/B,COMMERCIAL / RESIDENTIAL,21.52,4804,TSUEN WAN,7-Dec-88,N.A.
1988/1989,LOT NO. 812 IN DEMARCATION DISTRICT NO. 110,KAM TIN ROAD KAM TIN,TENDER,PETROL FILLING STATION,23.88,1300,YUEN LONG,2-Dec-88,N.A.
1988/1989,NEW KOWLOON INLAND LOT NO. 6052,FAT TSEUNG STREET,AUCTION,DANGEROUS GOODS GODOWN,218,4728,SHAM SHUI PO,22-Dec-88,N.A.
1988/1989,KOWLOON INLAND LOT NO. 10972,194-200 ARGYLE STREET,AUCTION,RESIDENTIAL R2,299,5889,KOWLOON CITY,22-Dec-88,N.A.
1988/1989,JUNK BAY TOWN LOT NO. 11,AREA 28 JUNK BAY,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,106,22400,SAI KUNG,29-Dec-88,N.A.
1988/1989,TUEN MUN TOWN LOT NO. 318,AREA 40,AUCTION,INDUSTRIAL,33,4012,TUEN MUN,22-Dec-88,N.A.
1988/1989,YUEN LONG TOWN LOT NO. 410,LEUNG YIP STREET TUNG TAU INDUSTRIAL AREA,AUCTION,INDUSTRIAL,33.5,1736,YUEN LONG,25-Jan-89,N.A.
1988/1989,INLAND LOT NO. 8643,JUNCTION OF HARBOUR ROAD / FLEMING ROAD,AUCTION,COMMERCIAL,3350,7230,WAN CHAI,25-Jan-89,N.A.
1988/1989,INLAND LOT NO. 8694,GARDEN ROAD ADJOINING TO YWCA,TENDER,COMMERCIAL,153.8,757,CENTRAL & WESTERN,21-Feb-89,N.A.
1988/1989,NEW KOWLOON INLAND LOT NO. 5974,WAI YIP STREET / SHEUNG YUET ROAD,AUCTION,COMMERCIAL,450,4121,KWUN TONG,27-Feb-89,N.A.
1988/1989,SHA TIN TOWN LOT NO. 350,LOK LAM ROAD,AUCTION,RESIDENTIAL R3,12.5,1550,SHA TIN,27-Feb-89,N.A.
1988/1989,YUEN LONG TOWN LOT NO. 473,FUNG CHEUNG ROAD / HOP YICK ROAD,LETTER A/B,RESIDENTIAL R1,5.85,670,YUEN LONG,15-Mar-89,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 56,SHEUNG SHUI AREA 7A,LETTER A/B,COMMERCIAL / RESIDENTIAL,46.36,7753,NORTH,15-Mar-89,N.A.
1988/1989,TUEN MUN TOWN LOT NO. 297,CASTLE PEAK ROAD,AUCTION,RESIDENTIAL R2,227,9673,TUEN MUN,27-Feb-89,N.A.
1988/1989,TAI PO TOWN LOT NO. 65,TAI PO OLD MARKET,LETTER A/B,RESIDENTIAL R1,19.4,2181,TAI PO,16-Mar-89,N.A.
1988/1989,YUEN LONG TOWN LOT NO. 464,TAI TONG ROAD / KAU YUK ROAD,LETTER A/B,RESIDENTIAL R1,5.18,2469,YUEN LONG,16-Mar-89,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 71,NEAR FANLING RAIL STATION,LETTER A/B,COMMERCIAL / RESIDENTIAL,68.47,12770,NORTH,17-Mar-89,N.A.
1988/1989,YUEN LONG TOWN LOT NO. 479,SAU FU STREET YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,4.34,1233,YUEN LONG,16-Mar-89,N.A.
1988/1989,SHA TIN TOWN LOT NO. 306,MA ON SHAN,LETTER A/B,RESIDENTIAL R1,9.26,3359,SHA TIN,17-Mar-89,N.A.
1988/1989,SHA TIN TOWN LOT NO. 307,MA ON SHAN,LETTER A/B,COMMERCIAL / RESIDENTIAL,137.84,27290,SHA TIN,17-Mar-89,N.A.
1988/1989,TAI PO TOWN LOT NO. 71,AREA 6 - KCR STATION,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,98,11498,TAI PO,23-Mar-89,N.A.
1988/1989,NEW KOWLOON INLAND LOT NO. 6019,WANG HOI ROAD / LAM HING STREET,AUCTION,INDUSTRIAL,220,2520,KWUN TONG,28-Mar-89,N.A.
1988/1989,FANLING SHEUNG SHUI TOWN LOT NO. 48,SHEUNG SHUI AREA 4B,AUCTION,INDUSTRIAL,41,2881,NORTH,28-Mar-89,N.A.
1988/1989,TAI PO TOWN LOT NO. 66,TAI PO OLD MARKET,AUCTION,RESIDENTIAL R1,700,22150,TAI PO,28-Mar-89,N.A.
1988/1989,KWAI CHUNG TOWN LOT NO. 405,TAI WO TSUEN,AUCTION,RESIDENTIAL R3,285,11100,KWAI TSING,28-Mar-89,N.A.
1988/1989,TAI PO TOWN LOT NO. 102,YIM TIN TSAI,TENDER,OTHER SPECIFIED USES,141.8,10750,TAI PO,30-Mar-89,N.A.
1987/1988,TAI PO TOWN LOT NO. 25,TAI PO OLD MARKET,LETTER A/B,RESIDENTIAL R1,18.39,4270,TAI PO,13-Jul-87,N.A.
1987/1988,TUEN MUN TOWN LOT NO. 320,AREA 40,AUCTION,INDUSTRIAL,109,8124,TUEN MUN,15-Jan-88,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 1 (LOT NO. 5388 IN DEMARCATION DISTRICT NO. 51),AREA 6B SHEK WU HUI,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,230.2,20900,NORTH,30-Oct-87,N.A.
1987/1988,CHAI WAN INLAND LOT NO. 134,OFF SUN YIP STREET CHAI WAN,AUCTION,INDUSTRIAL,83,3200,EASTERN,29-May-87,N.A.
1987/1988,INLAND LOT NO. 8687,KING'S ROAD NORTH POINT,AUCTION,INDUSTRIAL,45,1057,EASTERN,29-May-87,N.A.
1987/1988,INLAND LOT NO. 8667,DES VOEUX ROAD CENTRAL,AUCTION,COMMERCIAL,840,2098,CENTRAL & WESTERN,29-May-87,N.A.
1987/1988,SHA TIN TOWN LOT NO. 282,YUEN SHUN CIRCUIT,AUCTION,INDUSTRIAL,24,1776,SHA TIN,24-Jun-87,N.A.
1987/1988,NEW KOWLOON INLAND LOT NO. 6040,FUNG SHING STREET,AUCTION,RESIDENTIAL R2,169,5600,WONG TAI SIN,24-Jun-87,N.A.
1987/1988,SHA TIN TOWN LOT NO. 294,TAI CHUNG KIU ROAD,LETTER A/B,RESIDENTIAL R2,27.86,8100,SHA TIN,13-Jul-87,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 37 (LOT NO. 5349 IN DEMARCATION DISTRICT NO. 51),ON LOK TSUEN,AUCTION,INDUSTRIAL,10.3,947,NORTH,27-Jul-87,N.A.
1987/1988,TUEN MUN TOWN LOT NO. 292,TSING YUNG STREET,LETTER A/B,RESIDENTIAL R2,32.47,7813,TUEN MUN,13-Jul-87,N.A.
1987/1988,INLAND LOT NO. 8690,TAI HANG DRIVE,AUCTION,RESIDENTIAL R2,77,1568,WAN CHAI,27-Jul-87,N.A.
1987/1988,LOT 1775 IN CHEUNG CHAU,PAK SHE CHEUNG CHAU,TENDER,INDUSTRIAL,1.09,435,ISLANDS,18-Aug-87,N.A.
1987/1988,LOT 1774 IN CHEUNG CHAU,PACKAGE 4 CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT<br/>,3.06,300,ISLANDS,25-Aug-87,N.A.
1987/1988,SHA TIN TOWN LOT NO. 313,TIN SAM STREET,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,326.8,19490,SHA TIN,28-Aug-87,N.A.
1987/1988,RURAL BUILDING LOT NO. 1088,5 MOUNT KELLETT ROAD,AUCTION,RESIDENTIAL R3,53,5952,CENTRAL & WESTERN,28-Sep-87,N.A.
1987/1988,STANLEY INLAND LOT NO. 83,STANLEY MAIN STREET,AUCTION,COMMERCIAL / RESIDENTIAL,12.1,150,SOUTHERN,28-Sep-87,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 14 (LOT NO. 5334 IN DEMARCATION DISTRICT NO. 51),ON LOK TSUEN,AUCTION,INDUSTRIAL,8.7,1100,NORTH,26-Oct-87,N.A.
1987/1988,NEW KOWLOON INLAND LOT NO. 6043,HING WAH STREET,AUCTION,COMMERCIAL / RESIDENTIAL,168,4323,SHAM SHUI PO,26-Oct-87,N.A.
1987/1988,LOT 1777 IN CHEUNG CHAU,PACKAGE 3 CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT<br/>,2.72,260,ISLANDS,27-Oct-87,N.A.
1987/1988,INLAND LOT NO. 8688,QUEEN'S GARDEN. OLD PEAK ROAD,AUCTION,RESIDENTIAL R2,500,5818,CENTRAL & WESTERN,26-Oct-87,N.A.
1987/1988,LOT 1778 IN CHEUNG CHAU,PACKAGE 3 CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT<br/>,2.85,235,ISLANDS,27-Oct-87,N.A.
1987/1988,NEW KOWLOON INLAND LOT NO. 6032,KOWLOON BAY,AUCTION,OTHER SPECIFIED USES,470,22280,KWUN TONG,27-Nov-87,N.A.
1987/1988,SHA TIN TOWN LOT NO. 281,YUEN SHUN CIRCUIT,AUCTION,INDUSTRIAL,53,4582,SHA TIN,27-Nov-87,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 30 (LOT NO. 5335 IN DEMARCATION DISTRICT NO. 51),ON LOK TSUEN,AUCTION,INDUSTRIAL,18.5,2563,NORTH,27-Nov-87,N.A.
1987/1988,SHA TIN TOWN LOT NO. 302,TAI CHUNG KIU ROAD,LETTER A/B,RESIDENTIAL R2,36.96,11110,SHA TIN,8-Dec-87,N.A.
1987/1988,TUEN MUN TOWN LOT NO. 296,CASTLE PEAK ROAD.,AUCTION,RESIDENTIAL R2,265,19460,TUEN MUN,27-Nov-87,N.A.
1987/1988,TAI PO TOWN LOT NO. 64,AREA 6 - KCR STATION,LETTER A/B,COMMERCIAL / RESIDENTIAL,48,15220,TAI PO,8-Dec-87,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 38,SHEUNG SHUI AREA 7A,LETTER A/B,COMMERCIAL / RESIDENTIAL,18.8,6865,NORTH,9-Dec-87,N.A.
1987/1988,JUNK BAY TOWN LOT NO. 10,AREA 30/33 JUNK BAY,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,255,24500,SAI KUNG,4-Jan-88,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 3 (LOT NO. 5345 IN DEMARCATION DISTRICT NO. 51),ON LOK TSUEN,TENDER,PETROL FILLING STATION,43.8,938,NORTH,11-Dec-87,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 34 (LOT NO. 5352 IN DEMARCATION DISTRICT NO. 51),ON LOK TSUEN,AUCTION,INDUSTRIAL,8.9,1120,NORTH,15-Jan-88,N.A.
1987/1988,LOT NO. 991 IN DEMARCATION DISTRICT NO. 215,TUI MIN HOI,AUCTION,INDUSTRIAL,6.5,1410,SAI KUNG,15-Jan-88,N.A.
1987/1988,LOT NO. 1198 IN DEMARCATION DISTRICT NO. 253,PAK SHEK WO,AUCTION,RESIDENTIAL R3,7.6,1900,SAI KUNG,15-Jan-88,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 20,SHEUNG SHUI AREA 7A,LETTER A/B,COMMERCIAL / RESIDENTIAL,15.99,5998,NORTH,26-Feb-88,N.A.
1987/1988,SHA TIN TOWN LOT NO. 303,TAI CHUNG KIU ROAD,LETTER A/B,RESIDENTIAL R2,42.28,11120,SHA TIN,26-Feb-88,N.A.
1987/1988,LOT 1781 IN CHEUNG CHAU,CHUNG HOK ROAD CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT<br/>,2,187,ISLANDS,11-Mar-88,N.A.
1987/1988,TUEN MUN TOWN LOT NO. 313,ROAD 16C,LETTER A/B,RESIDENTIAL R1,18.55,10410,TUEN MUN,26-Feb-88,N.A.
1987/1988,TAI PO TOWN LOT NO. 74,AREA 2 TAI PO,TENDER,PETROL FILLING STATION,54.8,870,TAI PO,11-Mar-88,N.A.
1987/1988,LOT 1782 IN CHEUNG CHAU,CHUNG HOK ROAD CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT<br/>,2.56,240,ISLANDS,11-Mar-88,N.A.
1987/1988,TUEN MUN TOWN LOT NO. 321,AREA 37A,TENDER,PETROL FILLING STATION,44,526,TUEN MUN,18-Mar-88,N.A.
1987/1988,FANLING SHEUNG SHUI TOWN LOT NO. 17,ON LOK TSUEN,AUCTION,INDUSTRIAL,27.5,3372,NORTH,24-Mar-88,N.A.
1987/1988,LOT NO. 788 IN DEMARCATION DISTRICT NO. 216,SHA HA,AUCTION,RESIDENTIAL R3,11.5,2601,SAI KUNG,24-Mar-88,N.A.
1987/1988,SHA TIN TOWN LOT NO. 212,SUI WO ROAD,AUCTION,RESIDENTIAL R4,21.5,7181,SHA TIN,24-Mar-88,N.A.
1987/1988,TUEN MUN TOWN LOT NO. 319,ROAD 44K TUEN MUN,AUCTION,RESIDENTIAL R2,213,13200,TUEN MUN,24-Mar-88,N.A.
1986/1987,SHA TIN TOWN LOT NO. 256,NEAR CITY ONE SHA TIN,TENDER,OTHER SPECIFIED USES,12,7709,SHA TIN,16-May-86,N.A.
1986/1987,KWUN TONG INLAND LOT NO. 715,KUNG LOK ROAD KWUN TONG,AUCTION,RESIDENTIAL R2,57,2781,KWUN TONG,26-Jun-86,N.A.
1986/1987,INLAND LOT NO. 8642,SAI NING STREET ADJOINING TO INLAND LOT NO. 8621,AUCTION,INDUSTRIAL,13,1020,CENTRAL & WESTERN,26-Jun-86,N.A.
1986/1987,SHAU KEI WAN INLAND LOT NO. 798,382-384 SHAUKIWAN ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,3.2,121,EASTERN,26-Jun-86,N.A.
1986/1987,TSUEN WAN TOWN LOT NO. 306,WAI TSUEN ROAD TSUEN WAN,LETTER A/B,RESIDENTIAL R1,171.75,3750,TSUEN WAN,7-Jul-86,N.A.
